,Date,ElbowLeft_XY,ElbowLeft_XZ,ElbowLeft_YZ,ElbowRight_XY,ElbowRight_XZ,ElbowRight_YZ,HL_position_X,HL_position_Y,HL_position_Z,HR_position_X,HR_position_Y,HR_position_Z,Neck_XY,Neck_XZ,Neck_YZ,ShoulderLeft_XY,ShoulderLeft_XZ,ShoulderLeft_YZ,ShoulderRight_XY,ShoulderRight_XZ,ShoulderRight_YZ,TrackingId
0,2016/11/01-16:54:04.8460,160.450253883,150.401889959,173.101043956,116.972480601,101.926253792,96.565716499,-0.1459779,-0.8972716,-0.247995,-0.130037,-0.4718037,-0.048999,135.574767007,24.2897066822,145.294561658,156.896810678,68.9002327917,105.441879839,103.811236777,100.14903732,129.709748687,72057594037934000
1,2016/11/01-16:54:06.0024,171.951694132,160.667324373,160.806534605,112.854017947,96.5323247776,97.5262613367,-0.1499019,-0.9412494,-0.265526,-0.1327576,-0.4759603,-0.055453,135.405998624,23.1447667365,146.094277827,133.250804461,93.9084767476,154.199675617,106.468460143,107.745254351,131.129598512,72057594037934000
2,2016/11/01-16:54:06.0514,172.441058339,161.974700215,162.283893866,109.588659059,93.7832358823,95.2623286144,-0.1599382,-0.9427278,-0.277348,-0.1305303,-0.4732265,-0.066487,138.945012182,16.7140034119,141.958631699,133.194234217,93.4538767926,153.959162395,107.500554644,109.504098919,129.727718908,72057594037934000
3,2016/11/01-16:54:06.1047,171.962515405,138.755754495,144.254140471,108.372636301,94.220276566,100.585779912,-0.1607657,-0.9479502,-0.282861,-0.1114395,-0.47319,-0.074067,138.171949201,18.1911911389,140.618451293,134.348437245,119.876019923,165.853176257,108.445429017,109.457870584,126.689610957,72057594037934000
4,2016/11/01-16:54:06.1673,165.002493225,129.831901143,149.48616459,116.164612824,107.383068385,98.2104724798,-0.1672054,-0.940586,-0.292923,-0.1013506,-0.461841,-0.087724,127.780356063,20.6829920355,155.436320438,142.761364719,131.955811837,162.569977399,97.4534025099,97.8235102418,131.827102285,72057594037934000
5,2016/11/01-16:54:06.2264,156.202315164,138.445451755,175.485727883,113.556575531,114.115469279,99.4921015924,-0.1878315,-0.9726406,-0.323098,-0.1095206,-0.4540752,-0.109841,132.918219671,11.1407461135,148.485957068,146.760423014,114.113394818,146.537402367,98.2463310555,92.6525703956,129.166002815,72057594037934000
6,2016/11/01-16:54:06.2828,168.388275497,148.132595655,154.554254322,107.271668187,114.374485946,87.6256412947,-0.1903406,-0.9714011,-0.325369,-0.1037271,-0.4240741,-0.116314,132.764663369,9.05116579718,150.237138925,140.303793147,115.972435317,158.096671465,99.6801630387,89.4344503003,124.693245962,72057594037934000
7,2016/11/01-16:54:06.3376,174.169328771,160.225041241,154.45471443,110.299264845,108.900893901,79.0380073828,-0.2065396,-0.9546787,-0.346399,-0.1004515,-0.4116478,-0.147156,134.656799473,11.6494516668,159.11230689,139.090729012,108.438032323,154.531918061,92.5931190357,87.0551696176,135.748210925,72057594037934000
8,2016/11/01-16:54:06.3900,174.186288483,174.202709817,160.392455156,107.103093238,113.084126167,78.8824485806,-0.1961465,-0.8256993,-0.198757,-0.0908463,-0.416654,-0.165869,138.575206028,10.9338977759,158.205319333,132.456731658,59.1315763998,86.0190273935,95.768374487,89.2265428995,132.85622453,72057594037934000
9,2016/11/01-16:54:06.4497,161.235156395,159.228077499,172.551105729,108.396274408,114.118550859,75.872185512,-0.2242238,-0.9941897,-0.383606,-0.1228404,-0.4750809,-0.178433,138.220407438,12.8205639168,162.189254875,121.55458235,41.3452861869,81.3817047081,93.9341149407,88.0629635044,135.806679694,72057594037934000
10,2016/11/01-16:54:06.5014,170.055290751,162.569871429,170.339337738,107.699008951,134.1788823,66.7008457209,-0.2196865,-0.8040829,-0.257625,-0.1197454,-0.4677738,-0.200576,138.68275165,16.2625237374,164.617453681,145.579063989,70.7766958471,77.447765541,90.0670539607,84.1659381082,135.976699556,72057594037934000
11,2016/11/01-16:54:06.5502,175.729874843,170.854157101,174.124173998,113.138070993,138.917246858,123.531426683,-0.21598,-0.7870108,-0.271394,-0.0392491,-0.39225743,-0.221375,139.021577852,16.3508400229,168.692950243,132.359583438,70.9627650812,71.0037362568,85.9697026432,81.7916969937,137.824444507,72057594037934000
12,2016/11/01-16:54:06.5995,177.980789746,175.515179644,176.975864923,115.415860296,145.094482745,120.357696488,-0.2076556,-0.797325,-0.283759,-0.0303152,-0.38952249,-0.235668,140.399025236,19.1447574297,171.401996705,128.319134826,71.1823835699,70.7630802152,82.9834406839,79.2477421979,136.820496901,72057594037934000
13,2016/11/01-16:54:06.6500,175.638658503,174.497879278,179.555714162,125.012861174,150.86861305,144.955001045,-0.176783,-0.8035776,-0.270761,-0.1401561,-0.505173,-0.211962,141.920393652,19.8345659308,172.02036213,125.682767421,73.2381719147,69.9108977864,80.5237084713,78.9960953892,139.753681141,72057594037934000
