,Date,ElbowLeft_XY,ElbowLeft_XZ,ElbowLeft_YZ,ElbowRight_XY,ElbowRight_XZ,ElbowRight_YZ,HL_position_X,HL_position_Y,HL_position_Z,HR_position_X,HR_position_Y,HR_position_Z,Neck_XY,Neck_XZ,Neck_YZ,ShoulderLeft_XY,ShoulderLeft_XZ,ShoulderLeft_YZ,ShoulderRight_XY,ShoulderRight_XZ,ShoulderRight_YZ,TrackingId
0,2016/11/01-16:51:55.4895,172.621795305,64.6165092512,163.410026667,159.854642836,154.261736655,121.949130103,-0.2368504,-0.8608081,-0.023436,-0.3441075,-0.39809223,-0.217951,156.526370315,14.051472159,137.883212113,97.341817865,38.8062995109,120.331898876,71.4888750512,77.9068473604,150.225882134,72057594037934000
1,2016/11/01-16:51:55.9065,173.942502678,67.7311502997,167.01592539,134.195632132,142.378111322,32.6682553397,-0.2185453,-0.9841682,-0.028282,-0.2710561,-0.33923997,-0.171274,156.365327379,13.1696264924,137.241112052,97.4528737766,38.7370304318,120.404050151,76.4033739013,77.9371732119,145.982299415,72057594037934000
2,2016/11/01-16:51:55.9714,176.880689375,71.6850181916,165.240115488,124.793959639,136.255073848,54.0041247246,-0.2279397,-0.9001974,-0.025517,-0.2468268,-0.42317886,-0.170108,156.21200914,11.190344697,136.220192186,98.1994093567,45.0974439946,121.128407127,91.3086932556,83.6829151978,140.074309199,72057594037934000
3,2016/11/01-16:51:56.0045,178.049566941,69.8512935444,164.339621862,126.311492396,123.066956725,73.7718536419,-0.220017,-0.8980277,-0.029471,-0.2260589,-0.44870218,-0.168771,155.443738775,8.56068585386,135.185687579,98.5113229491,50.4723007129,121.926159371,96.1720097501,85.2167658499,137.003880528,72057594037934000
4,2016/11/01-16:51:56.0378,179.715739319,77.4761045689,163.537614871,115.341883721,117.700372771,73.2190114792,-0.2091714,-0.8937066,-0.029908,-0.2091129,-0.4769131,-0.139708,154.699994679,6.81856314432,134.584921169,99.0803483946,48.6407403779,121.94788275,105.064071961,89.5834296188,133.495457613,72057594037934000
5,2016/11/01-16:51:56.0708,177.629501916,87.7962422073,164.174306359,124.878046404,112.905674528,96.4193593568,-0.2011838,-0.8864657,-0.029321,-0.1687954,-0.5105106,-0.126218,153.856778615,4.59335205515,134.525433402,99.7134102121,43.6214630112,121.519640319,109.845065279,92.7407302007,131.201215745,72057594037934000
6,2016/11/01-16:51:56.1394,175.457060804,105.760523469,165.685025752,118.232688072,99.2257540268,104.862642193,-0.1936478,-0.873011,-0.019267,-0.1358979,-0.5467982,-0.0676,153.068059918,1.39829280047,134.960635619,100.519158983,31.6333698011,120.93184161,120.369695547,104.968079323,126.004795258,72057594037934000
7,2016/11/01-16:51:56.1705,173.127201024,114.400152718,166.277730046,125.933256902,101.16871572,113.197684738,-0.1893047,-0.8802895,-0.013321,-0.1594613,-0.5547262,-0.065237,152.463523156,0.679139301901,135.470851463,101.165463539,29.3778433595,120.913723673,119.307826443,103.188585304,126.283579101,72057594037934000
8,2016/11/01-16:51:56.2055,170.915704359,124.973486433,130.46185997,128.363228122,104.364935606,116.188058016,-0.1725299,-0.7800391,-0.270049,-0.1727266,-0.5572511,-0.065111,151.777678308,3.43410584699,135.704989933,100.920701985,4.68160095217,119.584378558,117.402128434,101.283298094,126.804313815,72057594037934000
9,2016/11/01-16:51:56.2724,176.50988286,148.610284228,138.043828788,138.347030912,96.5699237271,113.548908096,-0.209419,-0.6717057,-0.261326,-0.165811,-0.5512555,-0.081582,153.952786533,7.1655178291,134.936981887,97.761794226,35.4920142061,112.544750419,111.721474637,99.9392061966,130.931933736,72057594037934000
10,2016/11/01-16:51:56.3059,162.809231243,173.551207868,120.629708855,137.507843456,97.6586350612,115.723265127,-0.2187847,-0.6478068,-0.261838,-0.1764186,-0.5462598,-0.080795,154.019650413,5.00135171273,136.515463592,103.043520276,67.495128363,112.852144047,111.76565771,103.516263756,129.840778791,72057594037934000
