,Date,ElbowLeft_XY,ElbowLeft_XZ,ElbowLeft_YZ,ElbowRight_XY,ElbowRight_XZ,ElbowRight_YZ,HL_position_X,HL_position_Y,HL_position_Z,HR_position_X,HR_position_Y,HR_position_Z,Neck_XY,Neck_XZ,Neck_YZ,ShoulderLeft_XY,ShoulderLeft_XZ,ShoulderLeft_YZ,ShoulderRight_XY,ShoulderRight_XZ,ShoulderRight_YZ,TrackingId
0,2016/11/14-15:25:04.5082,170.073093252,80.6187107188,149.878065267,132.376740074,69.6670568293,179.941140215,-0.1148748,-0.687069,0.093424,0.1501118,-0.6483037,-0.1548069,140.213727937,128.311931888,178.40920392,116.457118424,167.451926794,111.281878967,116.275174158,160.237310493,122.992117106,72057594037928048
1,2016/11/14-15:25:06.3570,169.753287541,75.3982626106,151.205356988,134.647909373,80.79900712,177.683223956,-0.1187188,-0.6920576,0.116494,0.1302855,-0.6419574,-0.1604168,141.692068165,131.90469862,175.514034232,116.221406077,176.56582255,112.6047984,112.032449941,147.89138323,126.913736499,72057594037928048
2,2016/11/14-15:25:06.3737,169.86003785,73.098059641,152.754206517,139.931527616,90.6454424203,174.892276418,-0.1173588,-0.6975397,0.13743,0.1108558,-0.6454876,-0.1677062,138.885381614,124.766495761,178.32720058,114.512410387,177.167341917,112.785127395,108.725334203,137.575152696,130.363614285,72057594037928048
3,2016/11/14-15:25:06.4114,172.871694076,71.1934041925,157.703764557,141.089874347,95.4331963828,174.017309113,-0.1053403,-0.6716553,0.165984,0.0741784,-0.6685493,-0.1803695,138.529275372,122.389198791,179.610950418,113.106987876,170.030692361,113.664722231,107.109471256,132.114812936,132.504548847,72057594037928048
4,2016/11/14-15:25:06.4650,173.898314034,79.0191402952,157.84186815,142.662289929,100.284482508,172.864114664,-0.1059716,-0.6758929,0.191592,0.0612161,-0.6726123,-0.1842781,139.818385542,123.339429362,179.131457734,110.937455196,179.214561245,109.1480023,105.092551538,126.812228471,133.670312605,72057594037928048
5,2016/11/14-15:25:06.5279,175.626908315,87.0872482347,160.961944136,143.877592554,103.56251985,171.36310686,-0.099717,-0.6760931,0.220186,0.0519537,-0.6777177,-0.1858922,140.758916252,124.146505316,178.512920574,109.861414921,179.763007446,109.176990777,103.287671261,122.294192973,134.690926056,72057594037928048
6,2016/11/14-15:25:06.5881,174.541131358,89.1333061163,161.076106672,145.35421315,106.325515899,170.431950208,-0.0959945,-0.6735499,0.247419,0.0455648,-0.6827686,-0.1891406,141.36487413,124.147855872,178.141015195,108.858485214,170.874334976,112.042739871,101.941945883,119.278957519,135.143238834,72057594037928048
7,2016/11/14-15:25:06.6742,172.62703667,113.56500654,165.436037375,146.362186665,107.056315437,170.215836441,-0.0972792,-0.7067431,0.278905,0.0423145,-0.6877557,-0.1894176,136.69661558,120.704933604,170.361087858,102.992376751,158.733937832,112.504226446,100.196412462,124.496078958,127.750677721,72057594037928048
8,2016/11/14-15:25:06.7247,173.404878131,125.258869548,167.403695898,147.365340078,108.001787742,169.930410958,-0.0887983,-0.6968329,0.302775,0.0428079,-0.6862754,-0.1908994,137.352159815,121.60901378,170.855363595,100.848674338,158.242593392,111.547887858,99.5552338889,125.119958803,126.556371886,72057594037928048
9,2016/11/14-15:25:06.7932,176.030904777,149.964604833,172.507187243,147.848998111,108.782384764,169.944958396,-0.0660239,-0.7224502,0.334459,0.0411563,-0.6882848,-0.1921412,138.026561068,121.731062467,171.570744065,96.1448548241,173.417390908,105.460726346,99.0893752545,125.45374343,125.779588616,72057594037928048
