,Date,ElbowLeft_XY,ElbowLeft_XZ,ElbowLeft_YZ,ElbowRight_XY,ElbowRight_XZ,ElbowRight_YZ,HL_position_X,HL_position_Y,HL_position_Z,HR_position_X,HR_position_Y,HR_position_Z,Neck_XY,Neck_XZ,Neck_YZ,ShoulderLeft_XY,ShoulderLeft_XZ,ShoulderLeft_YZ,ShoulderRight_XY,ShoulderRight_XZ,ShoulderRight_YZ,TrackingId
0,2016/11/15-15:11:23.4177,158.741813626,12.4570101573,177.659963564,146.601794399,106.564812678,175.736551191,-0.0146379,-0.7165273,0.16021,0.0861384,-0.6123338,-0.2261308,134.847305514,93.0596261706,164.709115723,108.593544592,89.0587338213,98.9070311107,125.646151185,151.898236753,135.357901872,72057594037927968
1,2016/11/15-15:11:23.8744,159.898118302,26.0821342205,178.633994402,145.719071168,118.403904068,168.960266518,-0.0233377,-0.6468444,0.12817,-0.0219482,-0.643717,-0.1652096,138.439542365,103.178751866,161.529517417,120.666644286,93.2289996735,100.421949936,118.248083568,118.412134474,126.91904375,72057594037927968
2,2016/11/15-15:11:23.8944,160.158673966,27.9169545091,178.194804699,147.890982603,114.568084334,168.336158088,-0.0180343,-0.6547208,0.132694,-0.0034568,-0.6392341,-0.1752047,137.276539771,99.9803501146,161.656846714,121.704706646,93.4301032974,100.614859463,119.130990261,120.655075805,127.379224975,72057594037927968
3,2016/11/15-15:11:24.0346,160.17772344,27.1098720168,178.414205635,150.144796377,107.035610139,176.801996599,-0.0067525,-0.6856847,0.140135,0.0527097,-0.6479409,-0.2125074,136.795452638,98.6939895075,161.533751499,121.600301874,93.3113728088,100.663872888,125.780762668,149.685210036,131.063376708,72057594037927968
4,2016/11/15-15:11:24.1021,160.197027672,26.1871208411,178.668007766,151.693243997,113.613399498,177.850423883,-0.0045071,-0.6869353,0.142617,0.0620634,-0.6617762,-0.2334209,134.952355082,93.8673927058,162.598380149,120.908549758,93.5637852249,100.255005712,124.721351452,146.70168317,132.290104896,72057594037927968
5,2016/11/15-15:11:24.1267,160.216695298,25.8232294313,178.766429981,152.833070103,117.905746624,178.005671153,-0.0069494,-0.6863562,0.144413,0.0597028,-0.6647027,-0.24103,133.971455054,89.8337472991,163.256069087,119.976933104,93.2240778442,100.202779278,123.962560907,144.609927054,133.305053289,72057594037927968
6,2016/11/15-15:11:24.1969,160.245521521,23.855571896,179.290332342,153.477324737,121.071145955,177.850625839,-0.0090728,-0.6869051,0.146759,0.0559895,-0.666207,-0.2501367,132.899403042,85.6926227202,163.925187604,118.340897418,92.6775907962,100.059885425,122.671598157,142.326117366,133.958299885,72057594037927968
7,2016/11/15-15:11:24.2260,160.373082733,22.4589451444,179.676136504,153.003022036,121.032349518,177.488697227,-0.0106486,-0.6877744,0.145246,0.0521167,-0.6633749,-0.2516338,133.454337655,87.4585132075,163.640410097,115.386878969,91.6027889849,99.807452993,122.672925382,142.660069139,134.231263522,72057594037927968
8,2016/11/15-15:11:24.2605,160.267714302,21.4318235845,179.931049174,150.860754908,118.370204431,177.481785764,-0.0117145,-0.6897242,0.147546,0.0472076,-0.6605935,-0.2542405,133.82274551,89.2067318748,164.016443061,113.180963793,90.8700856421,99.5167638624,123.134417286,144.453997014,134.466414949,72057594037927968
9,2016/11/15-15:11:24.2950,159.773273362,18.5505207338,179.348647642,151.342909318,119.684694899,177.698722841,-0.012494,-0.6954433,0.145738,0.0469144,-0.6549088,-0.2529574,134.367752851,90.4220321139,164.211813964,111.991596688,90.3692060065,99.4004700174,122.658949756,143.814332426,134.766498612,72057594037927968
10,2016/11/15-15:11:24.3253,159.294924501,17.6352532689,179.119178316,148.819410863,114.038594974,177.477252217,-0.0127318,-0.695834,0.1464,0.0580433,-0.639198,-0.2424486,134.461882415,91.3013725771,164.147219961,110.368644384,89.6172427951,99.250398238,124.114627327,147.832401758,134.863878094,72057594037927968
11,2016/11/15-15:11:24.3583,158.602859716,12.8495332703,177.760094114,146.622063578,106.602814842,175.775207554,-0.0122875,-0.6963993,0.142712,0.0595312,-0.6396583,-0.2370245,134.753262798,92.5909902115,164.163120253,109.234975476,89.2467304012,99.0468034233,125.647485212,151.987556734,135.238212235,72057594037927968
12,2016/11/15-15:11:24.4257,157.501208672,5.15767552251,175.288085456,138.04083407,88.9848209996,176.677758131,-0.0092055,-0.693227,0.141052,0.0695688,-0.6312578,-0.2238337,135.492301482,95.2407241296,164.532234559,108.569201643,88.5973321768,99.122762785,130.000398157,166.102963574,134.149031925,72057594037927968
13,2016/11/15-15:11:24.4567,157.533501659,6.02074199122,175.570365285,136.959375053,80.8576799422,174.182069061,-0.0082307,-0.692323,0.144058,0.0704468,-0.6306151,-0.2151289,135.521081362,95.9548497082,165.446182591,108.107956924,88.1766771638,99.1519809436,131.308424942,170.367498827,134.265847264,72057594037927968
14,2016/11/15-15:11:24.5926,157.606086524,6.16393647397,175.627935868,134.144635216,72.9879751926,173.162220082,-0.0096392,-0.6943133,0.146932,0.0885065,-0.6133873,-0.2032265,135.611052803,96.629135858,166.125737089,107.151567461,87.7862396693,98.9811303033,132.961043219,174.970405888,134.107996662,72057594037927968
15,2016/11/15-15:11:24.6625,158.023534044,9.48394671598,176.716766103,128.334102853,63.9619878269,172.789005166,-0.0078003,-0.6954388,0.149354,0.0797679,-0.6232466,-0.1873687,135.093419299,95.4076237817,166.907265188,107.006695295,87.606217919,99.0069836805,134.596505078,179.6845517,133.848263662,72057594037927968
16,2016/11/15-15:11:24.7168,158.270381778,11.0889754413,177.224169667,128.149957165,56.2455061344,169.803363476,-0.0083744,-0.6956497,0.153355,0.0867156,-0.6206132,-0.1743567,137.443278491,99.7114763923,166.75597317,107.752059683,88.3115165477,98.9594516193,135.553873574,177.210015815,133.217172198,72057594037927968
17,2016/11/15-15:11:24.7381,168.623921268,117.591869477,171.038451931,126.406555703,52.9695927726,169.977035489,-0.0152242,-0.6933739,0.182515,0.0812725,-0.6173368,-0.1650441,137.968140013,105.34708315,167.724328883,117.289594188,169.316880403,106.44023155,134.264200515,175.691128755,131.020089825,72057594037927968
18,2016/11/15-15:11:24.7982,168.731809626,117.657164843,170.898077547,125.615740722,47.6682158432,168.581509079,-0.0157546,-0.6953539,0.183326,0.0775167,-0.6209043,-0.1442334,139.557374903,107.685400226,168.658060851,117.64703027,168.434272749,106.317632079,134.038632224,173.919014104,129.994528361,72057594037927968
