,Date,ElbowLeft_XY,ElbowLeft_XZ,ElbowLeft_YZ,ElbowRight_XY,ElbowRight_XZ,ElbowRight_YZ,HL_position_X,HL_position_Y,HL_position_Z,HR_position_X,HR_position_Y,HR_position_Z,Neck_XY,Neck_XZ,Neck_YZ,ShoulderLeft_XY,ShoulderLeft_XZ,ShoulderLeft_YZ,ShoulderRight_XY,ShoulderRight_XZ,ShoulderRight_YZ,TrackingId
0,2016/10/31-17:41:33.6069,167.468136362,174.094949072,171.630951425,152.903357485,108.900917529,172.809436759,-0.3511626,-0.7876133,0.042245,0.148226,-0.7043933,0.024432,172.052499179,66.7697011305,155.334044322,142.108004078,110.791364754,105.473628819,138.237415737,99.1278105404,111.137254235,72057594037927968
1,2016/10/31-17:41:36.5957,168.543647589,169.471424566,176.319815472,152.850160583,108.531400659,172.671524476,-0.3571268,-0.7825714,0.045916,0.1475758,-0.7037533,0.024315,172.397942807,66.4049458104,154.960486554,143.724663841,113.170152031,106.136869858,138.091215245,99.7403663839,111.290081431,72057594037927968
2,2016/10/31-17:41:36.6338,169.774727613,125.120430992,150.626132708,152.808751869,108.273419029,172.577805541,-0.3674997,-0.7568156,0.050395,0.1499806,-0.7037798,0.024773,176.684287663,64.3223114569,152.892301585,144.651776644,141.771569978,124.772205145,136.193516999,102.872936297,112.08357718,72057594037927968
3,2016/10/31-17:41:36.6884,169.980683462,125.318267082,150.51579958,152.807822868,108.067280971,172.476760521,-0.3750516,-0.759005,0.048657,0.1438315,-0.704819,0.025416,170.708411859,65.1730559348,149.809291926,147.645534191,139.74125959,126.298168558,134.246952098,107.176727063,114.180274694,72057594037927968
4,2016/10/31-17:41:36.7096,165.176681406,124.171258222,154.36117307,152.739362946,107.471286039,172.263172267,-0.3691123,-0.762497,0.04201,0.1094867,-0.6870294,0.031301,169.555515739,65.2436941902,147.692875846,148.980060407,131.639474095,119.606871105,134.14892127,103.944189164,110.036459757,72057594037927968
5,2016/10/31-17:41:36.7891,164.183783524,123.186252597,154.696367975,152.742358577,107.472063724,172.261459034,-0.3661685,-0.7663445,0.042201,0.1122549,-0.6876985,0.035071,169.16506855,64.9327425579,148.304365842,149.782512468,129.466594868,118.704081662,133.707587939,105.604098119,111.182793203,72057594037927968
6,2016/10/31-17:41:36.8447,165.649289075,117.201648583,149.25058526,152.747942295,107.472685387,172.259423619,-0.3683373,-0.7602886,0.039764,0.1180632,-0.6597623,-0.066772,167.980837159,62.2490454361,147.202852301,149.734076635,133.710486808,121.450731578,133.009215244,106.508600822,111.255793988,72057594037927968
7,2016/10/31-17:41:36.9002,166.678204216,117.244457021,148.50873042,152.749651823,107.467311411,172.256376272,-0.3685355,-0.7627781,0.034708,0.1104713,-0.6850341,0.035907,168.152929128,59.4891814816,146.313144522,149.350768864,133.878771116,121.540348298,132.88491687,106.969598144,111.561982107,72057594037927968
8,2016/10/31-17:41:36.9408,168.26108122,113.991839076,146.514255496,152.749305878,107.461927058,172.25504584,-0.3708941,-0.7640896,0.036036,0.1130611,-0.6831458,0.037851,167.106247486,53.4182405932,145.469513927,148.152326782,140.538952052,126.664666973,131.579969715,108.725712673,111.775897791,72057594037927968
9,2016/10/31-17:41:36.9944,171.094086025,117.572205266,147.146639763,152.749440611,107.456705939,172.25386183,-0.37952411,-0.7654117,0.041766,0.1297866,-0.658598,-0.061844,168.906934783,46.7743032323,146.162019059,145.804900106,139.077097955,125.370386231,131.07381739,109.553377268,111.999457912,72057594037927968
10,2016/10/31-17:41:37.0450,175.814464338,122.981839877,145.486212428,152.748696227,107.450004088,172.252446708,-0.39225518,-0.742381,0.026798,0.1194931,-0.6834369,0.042218,167.061450961,45.1171377286,146.63404796,146.846049476,137.017262701,124.849700097,130.633135578,109.967781623,111.848419439,72057594037927968
11,2016/10/31-17:41:37.0958,170.282355046,86.8826598292,130.757619697,152.747734445,107.448470977,172.251805166,-0.3445533,-0.760053,-0.049383,0.1309436,-0.6848854,0.049103,173.338891836,37.3470032405,149.565325251,147.217545626,169.036785535,141.525942417,130.794132915,110.218508844,112.335482235,72057594037927968
12,2016/10/31-17:41:37.1462,170.567025361,83.2511813501,132.950773708,152.746803656,107.445131124,172.25073914,-0.3312132,-0.8236783,-0.046091,0.1423335,-0.6708199,-0.059917,170.223753521,34.3161064126,147.409521798,143.973896153,170.469998731,140.254738044,129.478238039,112.539434701,113.19755837,72057594037927968
13,2016/10/31-17:41:37.2092,176.366022892,113.964936394,152.41089932,152.746188716,107.443958864,172.249221577,-0.3306383,-0.7919752,-0.008895,0.1479645,-0.6777553,-0.061423,171.905615208,29.2533239301,146.017697916,137.896583032,147.737158033,128.673402685,129.625833281,113.215517377,114.206110605,72057594037927968
14,2016/10/31-17:41:37.2691,177.537689179,118.135306357,153.84436658,152.745228774,107.441970154,172.247876703,-0.3287442,-0.7971296,-0.000401,0.1494137,-0.6566109,-0.068512,170.045795876,26.7766080127,144.690051984,137.388321129,144.79191633,128.228769065,129.620231881,114.524120838,115.809647861,72057594037927968
15,2016/10/31-17:41:37.3172,178.864531795,118.108877803,152.795115816,173.268416624,31.4347390855,157.037553948,-0.3282837,-0.7844889,0.003524,0.0750742,-0.7214002,-0.137713,170.026539157,24.5408236025,144.815974589,136.814280847,146.194431044,128.854312634,110.581996629,107.454170455,138.248790012,72057594037927968
16,2016/10/31-17:41:37.3913,179.150544547,115.472880532,151.960603228,173.3881934,32.5422950937,156.968492348,-0.3222171,-0.7834325,0.004614,0.076492,-0.7222853,-0.140439,170.626856065,22.0873851845,144.113335509,136.331810636,149.918317751,131.008153318,110.467132799,105.969875963,139.151457285,72057594037927968
17,2016/10/31-17:41:37.4653,179.021744125,121.908041246,153.150555579,173.608145073,34.8673411864,156.910905897,-0.3146648,-0.7774141,0.010581,0.0782721,-0.722721,-0.139084,174.919998931,24.6059061394,144.620971244,136.465933405,143.054593658,128.999810177,110.494715881,104.346948622,139.070402887,72057594037927968
