,Date,ElbowLeft_XY,ElbowLeft_XZ,ElbowLeft_YZ,ElbowRight_XY,ElbowRight_XZ,ElbowRight_YZ,HL_position_X,HL_position_Y,HL_position_Z,HR_position_X,HR_position_Y,HR_position_Z,Neck_XY,Neck_XZ,Neck_YZ,ShoulderLeft_XY,ShoulderLeft_XZ,ShoulderLeft_YZ,ShoulderRight_XY,ShoulderRight_XZ,ShoulderRight_YZ,TrackingId
0,2016/10/28-23:08:20.3718,175.25544277,15.8271384536,121.244984721,178.524939914,125.960552097,151.021104612,-0.002307,-0.5412193,-0.400371,-0.1254155,-0.6213926,-0.427495,67.6745450821,164.112643206,87.7428778668,112.873095754,150.871377887,131.3407787,143.427220218,134.089232011,134.238402367,72057594037928128
1,2016/10/28-23:08:21.2643,174.67420414,14.8097742763,120.033545442,177.773576308,128.03580336,151.382668335,-0.0169492,-0.5427994,-0.38068,-0.130038,-0.6277095,-0.423276,67.8619069886,160.47919184,87.234701108,114.042056212,152.345865949,133.794725808,142.726635189,133.75889553,134.729960985,72057594037928128
2,2016/10/28-23:08:21.3008,154.855442608,29.4389350609,103.704578959,177.541455542,128.672568779,152.860189773,-0.1462982,-0.5496836,-0.249632,-0.1262566,-0.6326596,-0.404093,65.141995217,173.396261852,82.9968684125,121.854260462,165.11686416,123.339607623,136.683029344,127.941944441,135.246948308,72057594037928128
3,2016/10/28-23:08:21.3539,160.145229579,36.3784047305,101.915952376,176.362045206,131.910121647,153.560665612,-0.1537755,-0.5495505,-0.246453,-0.128833,-0.6377506,-0.407847,65.5790914267,167.048684464,84.0075068506,126.704872951,172.83992909,126.223959574,136.03340261,127.670740014,135.549518743,72057594037928128
4,2016/10/28-23:08:21.4157,160.824817844,37.927740961,101.275814761,176.338127037,133.862314157,154.544399466,-0.1557667,-0.5501476,-0.242697,-0.1279117,-0.6420622,-0.408962,67.0162546325,165.768219525,84.4697143894,127.836812695,174.116794727,127.158359484,137.063958417,127.83762411,134.808299533,72057594037928128
5,2016/10/28-23:08:21.4387,159.330791237,40.436967017,103.184281109,177.327942653,137.811050115,158.597586405,-0.1544128,-0.5505474,-0.214162,-0.1225442,-0.6473086,-0.394424,64.9168747695,170.636949842,82.1403007631,128.816236217,175.923676056,125.6076852,142.387054758,126.489969356,131.231701686,72057594037928128
6,2016/10/28-23:08:21.4963,148.692366317,50.8923134427,107.811795628,177.378005576,138.883112513,161.054485036,-0.1544236,-0.5545737,-0.198899,-0.1147561,-0.6656021,-0.37436,65.709753107,124.407729238,76.6462034456,125.734932487,179.87903947,118.822253476,146.849642787,123.439595247,130.551879743,72057594037928128
7,2016/10/28-23:08:21.5624,157.340331429,53.6641143379,117.58050347,177.592673732,137.245346624,160.264986315,-0.1681149,-0.5487481,-0.172104,-0.1174664,-0.6680506,-0.371836,64.9102135927,146.023962972,77.7087754132,126.377123478,179.798940378,120.11903395,145.641215543,124.019083921,130.950576471,72057594037928128
8,2016/10/28-23:08:21.6030,157.896734595,54.6526889672,117.079474992,178.090338311,135.227151267,159.451372821,-0.1715779,-0.5467344,-0.170097,-0.12279,-0.6659844,-0.36564,64.6815123891,151.970082257,77.9537266972,127.094190013,178.830526225,120.61584054,146.370020865,125.149960405,131.471411295,72057594037928128
9,2016/10/28-23:08:21.6225,125.504466017,28.5518384583,74.6652898567,178.705683276,131.037108164,157.788280887,-0.137964,-0.3590155,-0.121038,-0.1216902,-0.665628,-0.350321,70.4574774535,162.174193081,80.6180417379,127.801050992,179.198070977,121.520144448,146.197467464,126.003511244,131.617868179,72057594037928128
