,Date,ElbowLeft_XY,ElbowLeft_XZ,ElbowLeft_YZ,ElbowRight_XY,ElbowRight_XZ,ElbowRight_YZ,HL_position_X,HL_position_Y,HL_position_Z,HR_position_X,HR_position_Y,HR_position_Z,Neck_XY,Neck_XZ,Neck_YZ,ShoulderLeft_XY,ShoulderLeft_XZ,ShoulderLeft_YZ,ShoulderRight_XY,ShoulderRight_XZ,ShoulderRight_YZ,TrackingId
0,2016/11/01-17:06:02.1992,153.712981071,19.5626972424,99.9140024637,134.048971669,150.917952261,151.226738939,-0.0598477,-0.6816161,-0.108464,-0.0806131,-0.3749309,-0.427922,148.766566979,22.8253943968,150.800233119,114.250065671,156.719907505,127.924612384,69.6118831153,107.466864778,166.16222778,72057594037934000
1,2016/11/01-17:06:03.2180,154.552438816,18.2361098161,106.080861813,136.173631533,149.558230739,153.805859401,-0.0508976,-0.6928973,-0.123124,-0.0833204,-0.38653409,-0.416722,148.856557151,18.2447392143,150.507612719,114.143846686,156.564802923,127.860469886,69.1858897377,106.036287294,164.031804923,72057594037934000
2,2016/11/01-17:06:03.2501,157.288066337,19.9666652604,108.748114648,140.261302449,148.916456125,160.882445428,-0.0443742,-0.7019957,-0.129274,-0.0832073,-0.39343539,-0.403214,148.98607921,18.0376769703,150.539496712,114.131498163,156.541436793,127.855999222,68.9599284907,104.29484745,162.087890813,72057594037934000
3,2016/11/01-17:06:03.2861,154.599689095,20.5661163136,98.6185874457,143.70702268,150.007335941,164.686891472,-0.0500567,-0.6876505,-0.103972,-0.1096413,-0.3937069,-0.515516,149.088646493,17.6109647241,150.315633077,114.135116135,156.513123221,127.873059439,67.5318929942,101.396724743,160.407139252,72057594037934000
4,2016/11/01-17:06:03.3166,155.308613584,20.0597068789,102.250366786,147.884136552,155.853011957,164.270683821,-0.0495221,-0.68853,-0.103143,-0.1071213,-0.40551308,-0.525917,149.482089834,14.7831707515,149.710454189,114.126481618,156.39983002,127.911411723,65.0372847419,97.9758477586,159.729539597,72057594037934000
5,2016/11/01-17:06:03.3573,155.645320052,22.9646644416,91.499781426,150.667477523,158.908334978,163.898932792,-0.1114068,-0.6680793,-0.167359,-0.2301988,-0.41811164,-0.442771,149.677875571,13.6934357356,149.70792423,114.15913835,156.357763242,127.970511904,62.432446377,94.8290300206,159.599412706,72057594037934000
6,2016/11/01-17:06:03.4493,146.670445532,17.8726664297,92.1174782793,153.804235505,164.002557244,161.763605582,-0.0394645,-0.6942123,-0.108787,-0.246458,-0.40938156,-0.442294,151.052065154,9.10666896354,149.957752034,114.246213338,156.192585735,128.150809781,60.8881548584,91.937019819,161.295556069,72057594037934000
7,2016/11/01-17:06:03.4819,149.468378197,17.2042819342,97.9980013944,151.826322857,163.775290265,158.051293727,-0.0379663,-0.6806313,-0.108974,-0.0871426,-0.37993892,-0.373405,152.223297546,4.37867042501,149.820547727,114.113292436,156.051052831,128.045996992,61.662828182,92.411591564,161.506422872,72057594037934000
8,2016/11/01-17:06:03.5159,148.857378171,17.0114319659,97.4231397995,151.268558526,164.214718124,156.640131834,-0.034409,-0.6851479,-0.11474,-0.2522484,-0.40077156,-0.447628,153.327893411,3.36684781756,149.464753261,113.91167789,155.855731315,127.876533088,62.5023534516,92.9308622738,161.630799161,72057594037934000
9,2016/11/01-17:06:03.5575,148.527539233,16.7559109188,97.4699870185,149.802440898,165.348415112,153.405765063,-0.028911,-0.6858759,-0.128779,-0.2460643,-0.39570035,-0.465208,154.748838932,12.2459963084,148.854490955,113.660699713,155.648925268,127.647148135,63.5869272282,93.7703063383,161.656143509,72057594037934000
10,2016/11/01-17:06:03.5805,147.784367979,16.7039221249,96.4033067466,145.955417325,166.639876966,146.070618611,-0.0312721,-0.7151416,-0.132013,-0.1208423,-0.38323855,-0.410293,155.551167465,20.2276894171,148.812456976,113.53955092,155.540075242,127.538858883,64.6026928549,95.3490881492,162.388307045,72057594037934000
11,2016/11/01-17:06:03.6165,147.510148373,16.4667207854,96.4973892863,142.538551542,168.217934056,140.427450804,-0.0320933,-0.7182645,-0.126182,-0.2484829,-0.37048356,-0.475714,156.928690714,33.091075158,147.908122823,113.436667806,155.335848335,127.49511988,65.4097068616,96.5659612985,163.547217093,72057594037934000
12,2016/11/01-17:06:03.6840,146.998942229,16.1190605901,96.4694925485,144.712197668,168.902314916,144.391693868,-0.0258079,-0.7172123,-0.133742,-0.1000857,-0.3711508,-0.414716,158.65330133,52.000138011,147.083998221,113.169408733,155.015228508,127.285595719,66.2788714136,99.8077187985,166.490961546,72057594037934000
13,2016/11/01-17:06:03.7147,146.683944552,15.8071153426,96.6505876813,145.982013014,169.635683273,146.105321043,-0.0177274,-0.7114204,-0.148583,-0.1034932,-0.36417428,-0.423007,159.704033121,64.4355040275,146.453840357,113.057212361,154.745044181,127.254280196,67.8763138073,102.669052281,169.365910379,72057594037934000
14,2016/11/01-17:06:03.7509,146.255687852,15.5485877083,96.5547076763,146.256344464,170.353426207,145.585511472,-0.0871841,-0.6810142,-0.164215,-0.0993094,-0.348405673,-0.416692,159.978205753,72.4984461393,146.659494888,112.946711859,154.605449847,127.169320293,66.7939457166,103.29397559,172.316269571,72057594037934000
15,2016/11/01-17:06:03.7834,145.985278276,15.0737509486,97.1334350194,147.801696106,171.475578179,146.699738467,-0.0158375,-0.712775,-0.152251,-0.0970083,-0.342522419,-0.410334,160.73097417,78.3173252572,146.586025327,112.84891494,154.468100174,127.099789726,65.5849485221,103.895326704,175.19454032,72057594037934000
16,2016/11/01-17:06:03.8152,145.610503601,14.9563961858,96.8214488714,149.593147388,172.174271711,148.251532783,-0.0133748,-0.7080996,-0.152952,-0.100248,-0.335547773,-0.411507,161.17744864,82.4110685125,146.79264954,112.77109536,154.409290853,127.022918582,64.663993826,104.890160983,177.318671346,72057594037934000
17,2016/11/01-17:06:03.8465,145.400015356,14.7673020992,96.8870009137,154.416694633,173.280569259,153.979728972,-0.0039163,-0.6549187,-0.175657,-0.1042762,-0.3325616,-0.412647,161.753789639,85.9551868398,147.106766179,112.745903707,154.350991014,127.016409285,63.9107906225,105.655597309,179.749770926,72057594037934000
18,2016/11/01-17:06:03.8814,145.161283772,14.6254840623,96.8165877089,157.978544875,174.487539345,157.541471613,-0.0078565,-0.6442325,-0.173459,-0.1168633,-0.32688512,-0.430283,162.193209644,87.5217580014,147.351351804,112.762049333,154.337774273,127.046787671,63.0665554478,105.803321504,177.901833069,72057594037934000
19,2016/11/01-17:06:03.9127,145.257799346,14.5442633009,97.1028352327,158.151786971,174.986838388,157.446450372,-0.0103187,-0.6598213,-0.168399,-0.2254901,-0.31846681,-0.571896,162.14877288,89.4260428857,147.916911559,112.772753633,154.366591642,127.050743285,63.8630161282,106.363171844,177.266519686,72057594037934000
20,2016/11/01-17:06:03.9472,144.523022944,15.0661186396,95.0448739834,158.160886604,176.659351053,156.969699724,-0.0152871,-0.6842704,-0.161521,-0.2239581,-0.32009385,-0.573642,162.774110989,90.6099290044,148.229409635,112.786058601,154.349794019,127.077875684,63.9837789528,105.815302137,177.368126609,72057594037934000
21,2016/11/01-17:06:03.9802,145.330469364,14.5933083241,97.0815206307,158.440995576,176.900702244,157.139379947,-0.0090491,-0.6592491,-0.170694,-0.2255864,-0.32744686,-0.571788,162.951307455,90.954303157,148.504631699,112.826871862,154.380965542,127.120234692,65.3446362573,105.872896564,178.089629178,72057594037934000
22,2016/11/01-17:06:04.0163,145.244612273,14.547336796,97.0465275268,156.423092473,173.813679482,155.397822242,-0.012429,-0.6714167,-0.163482,-0.2319753,-0.41155648,-0.495015,163.268701845,89.9577111336,148.63053601,112.941671666,154.387680167,127.27152792,68.34359629,106.733113061,179.261874394,72057594037934000
23,2016/11/01-17:06:04.0478,145.078787549,14.9278911767,96.0380958579,144.05187997,170.108858994,141.825206009,-0.0227702,-0.693145,-0.14778,-0.2481534,-0.4034699,-0.506953,164.225118445,91.3961746684,149.172290194,113.023772387,154.419611489,127.369223042,75.7260725584,107.792621122,171.771770191,72057594037934000
24,2016/11/01-17:06:04.0829,144.911370475,14.8851999121,95.8876966371,176.420054736,176.732981819,179.621787793,-0.026137,-0.7003527,-0.14121,-0.0953924,-0.43946518,-0.415217,164.811918725,91.1702769435,149.321067347,113.104362843,154.424175486,127.475948311,83.7451375153,109.628989301,164.930785269,72057594037934000
25,2016/11/01-17:06:04.1155,144.419817923,14.9769900985,95.0441036547,168.665574317,173.063869104,175.549331883,-0.027039,-0.7056476,-0.133203,-0.1727012,-0.5336608,-0.520573,165.181466161,91.4299511714,149.406554413,113.215962524,154.455708139,127.612218716,91.6541700195,111.95834893,158.235236214,72057594037934000
26,2016/11/01-17:06:04.1475,158.21906683,17.3414511251,119.432193041,157.264324566,165.324874965,170.908957951,-0.1263262,-0.7949503,-0.055687,-0.0570753,-0.5047993,-0.393432,164.094729542,74.4493174342,148.795265201,113.209283885,154.553842959,127.563779828,103.384312264,118.777432254,149.605333499,72057594037934000
27,2016/11/01-17:06:04.1806,159.183853786,17.9778412907,121.431106122,132.993610168,148.804027737,159.292066571,-0.1312025,-0.8020707,-0.046388,-0.0525171,-0.5261833,-0.395217,163.683712358,64.749301494,147.922614515,113.232775967,154.607226409,127.575307564,113.01429271,127.365268673,146.672561533,72057594037934000
28,2016/11/01-17:06:04.2161,166.502374115,28.9900823398,116.171541753,130.55717482,140.932270473,162.037295396,-0.1850574,-0.6584175,-0.102773,-0.0425731,-0.5406749,-0.395706,162.966943198,56.2403636917,146.815191677,113.263625592,154.434015463,127.693069382,117.517596274,133.528668915,144.145354367,72057594037934000
29,2016/11/01-17:06:04.2471,166.336676199,28.7767451575,116.121576488,121.810938565,131.687547963,156.089767728,-0.1908668,-0.7147904,-0.086892,-0.0405703,-0.5566901,-0.398909,161.63901356,53.5686226662,146.486398618,113.412258312,154.354144793,127.925847905,121.78753597,141.518586511,140.50393016,72057594037934000
30,2016/11/01-17:06:04.2827,165.685320026,27.9538131548,116.281153948,118.816107747,125.632191898,155.701820048,-0.1653345,-0.7785601,-0.081793,-0.0556463,-0.5907015,-0.416683,160.085587963,52.1009720442,146.675163815,113.346845848,154.349989452,127.840406598,122.600765486,145.327520682,138.993239732,72057594037934000
31,2016/11/01-17:06:04.3147,130.674132863,10.0716796133,89.084175588,110.892198797,110.559895208,149.530976273,-0.117678,-0.5869251,-0.17552,-0.0444821,-0.5856988,-0.423012,157.1722731,51.5341684039,147.383056432,113.654735542,154.318180477,128.263657295,128.006322628,158.595773178,136.081727218,72057594037934000
32,2016/11/01-17:06:04.3833,136.462903098,10.831019557,93.2289704747,101.6286401,96.0470963145,141.543652018,-0.1180921,-0.6085429,-0.159921,-0.0163323,-0.559242,-0.41199,154.813828714,47.5547803791,149.985845866,113.983845369,154.333726689,128.689078824,127.58348901,164.239878821,135.566007311,72057594037934000
33,2016/11/01-17:06:04.4149,172.265762329,161.6221786,162.045353997,92.5003841396,92.4773867014,130.046442518,0.0087825,-0.6794582,-0.415595,-0.0115175,-0.533332,-0.402676,154.04081936,47.5006603785,151.761505833,90.4783542328,45.7598077609,53.3259505255,126.463274901,164.496670953,134.961608739,72057594037934000
34,2016/11/01-17:06:04.4479,176.198929909,172.967304339,170.906427604,88.1785811839,93.0289757063,123.609246216,-0.0118851,-0.659018,-0.410802,-0.0031347,-0.5151125,-0.380706,152.589150942,60.293609829,158.016860646,91.0546698987,46.0705856458,53.0088211588,124.151910621,159.164633582,136.379275894,72057594037934000
35,2016/11/01-17:06:04.4859,167.214120117,166.809108333,175.584334901,83.2003147906,88.3057559558,115.683229002,-0.0179505,-0.7599114,-0.683168,0.0090125,-0.4923881,-0.361737,151.456012358,79.2259056717,162.543738012,111.540364118,42.9954789982,65.5052115617,122.614951354,160.237381205,134.948457073,72057594037934000
