,Date,ElbowLeft_XY,ElbowLeft_XZ,ElbowLeft_YZ,ElbowRight_XY,ElbowRight_XZ,ElbowRight_YZ,HL_position_X,HL_position_Y,HL_position_Z,HR_position_X,HR_position_Y,HR_position_Z,Neck_XY,Neck_XZ,Neck_YZ,ShoulderLeft_XY,ShoulderLeft_XZ,ShoulderLeft_YZ,ShoulderRight_XY,ShoulderRight_XZ,ShoulderRight_YZ,TrackingId
0,2016/11/15-15:12:38.7780,178.119371477,159.871601106,178.30129729,154.712123396,137.974269433,177.613021098,0.028026,-0.7105199,0.166582,0.0404293,-0.679834,-0.2643879,132.339981531,102.873924435,167.53922755,140.326926016,69.5722834418,99.861889832,110.486194713,124.393170402,131.468356899,72057594037927968
1,2016/11/15-15:12:39.8520,178.172299464,164.044587922,178.975510691,155.398642791,137.834852511,179.323335793,0.0465276,-0.7416076,0.124748,0.0372097,-0.6804971,-0.2695645,132.31054684,101.506098204,167.310994314,141.138616939,71.0138008916,100.430434278,109.709006381,123.501310719,131.729590564,72057594037927968
2,2016/11/15-15:12:39.8776,178.360404788,102.148706614,170.451839595,153.165930663,132.905293547,179.248298039,0.0137348,-0.7646202,0.201029,0.0367693,-0.6763836,-0.2714352,131.885802738,99.1600246583,166.763486619,140.416687746,76.0616899947,100.451824696,110.395519233,126.101139166,132.087006357,72057594037927968
3,2016/11/15-15:12:39.9289,178.351392309,107.004173677,170.671357727,148.902382071,126.039041063,179.226362112,0.0120602,-0.7535624,0.19933,0.0353009,-0.6718938,-0.2706398,131.62938022,97.9963547122,166.712885819,140.381804443,80.6518485871,100.899586362,112.139695112,130.813355701,132.090939413,72057594037927968
4,2016/11/15-15:12:39.9926,178.651604156,112.944037923,171.077914502,146.970688895,121.883456933,179.641034861,0.0099282,-0.7331787,0.198054,0.0351565,-0.6669041,-0.2662648,131.404569329,96.9554051756,166.637901465,139.662627744,83.6033322623,100.714074845,113.853175294,134.857526467,132.084920099,72057594037927968
5,2016/11/15-15:12:40.0429,178.816948669,126.758404633,173.245840078,139.707672836,105.024756446,179.960390559,0.009474,-0.7063996,0.186881,0.045269,-0.6515158,-0.2558578,131.81340445,98.2529176545,166.549941781,138.673482051,85.9240870877,100.743247061,118.970226372,150.059230125,131.51446384,72057594037927968
6,2016/11/15-15:12:40.0625,178.682002433,174.844615722,179.310907937,139.301367501,100.786567382,178.70417532,0.0091853,-0.6874333,0.18208,0.0693045,-0.6360475,-0.2392618,131.812193801,97.7193496747,166.685914904,137.786454922,109.660199912,103.248735496,118.865992491,152.555593433,130.944224963,72057594037927968
7,2016/11/15-15:12:40.1044,178.725435081,167.901324585,178.295211785,128.396327269,79.5611839995,177.91308491,0.0021115,-0.7149922,0.179176,0.0547462,-0.6456155,-0.2437152,132.961598968,102.191404634,166.860459072,135.057775188,118.013655767,103.831586858,125.872647538,173.189068839,128.867661775,72057594037927968
8,2016/11/15-15:12:40.2059,178.312949285,155.392769998,176.751209727,132.061007249,67.8868800448,174.977905679,0.0008037,-0.7217451,0.192246,0.1128576,-0.6142652,-0.194192,133.793682104,104.604379387,166.736821711,131.681015253,120.181713537,103.255586879,127.37602177,177.675695389,128.205347794,72057594037927968
9,2016/11/15-15:12:40.2270,178.633238046,120.162136486,171.411316114,128.358016666,61.4325838187,175.757494558,-0.0146209,-0.887013,0.184094,0.1094623,-0.6191243,-0.1889647,134.007962034,105.131011443,166.70782884,130.3544579,134.809580578,105.515498378,131.935798828,174.464320877,128.207255605,72057594037927968
10,2016/11/15-15:12:40.2807,177.491793756,64.6394544499,150.014434174,124.727139312,54.2766577931,176.384128771,0.0164864,-0.633343,0.099701,0.104045,-0.621673,-0.1828904,134.456877643,104.969832206,166.423474978,129.446602329,161.667722523,112.145243503,135.887445313,167.17862937,127.559361636,72057594037927968
11,2016/11/15-15:12:40.3315,177.653713315,65.1902447231,150.089533002,119.488197734,45.6996802491,174.334953449,0.014073,-0.6342026,0.099651,0.0827836,-0.6305335,-0.1791684,134.958513145,105.154627469,166.440209267,128.990686934,161.733611131,112.223327687,137.308847212,164.150352851,127.030065593,72057594037927968
12,2016/11/15-15:12:40.3937,177.78444535,62.3731718294,148.392051403,122.609114149,44.2922702282,172.950896324,0.0122403,-0.6342859,0.097837,0.0985949,-0.628723,-0.1672818,135.552826731,104.987536781,166.380321348,128.437684819,163.265354506,112.721365328,137.665446611,163.543037881,126.994612741,72057594037927968
13,2016/11/15-15:12:40.4461,177.926012894,66.9535116709,148.90745657,123.858548513,41.4975253339,171.702248098,0.0072093,-0.6901227,0.11697,0.0913784,-0.633997,-0.1467143,135.919508356,104.548551595,166.841066244,127.263600486,155.641289933,109.528862002,137.618263424,162.892555876,126.638907707,72057594037927968
14,2016/11/15-15:12:40.6127,176.71248674,147.389350085,165.060388841,124.077039057,39.9609649542,171.36213274,-0.0062661,-0.7358396,0.313692,0.0886431,-0.6364684,-0.1395322,136.54519973,104.621582944,167.207578997,126.198054866,155.91435136,109.259920458,137.582817697,162.373708479,126.357137752,72057594037927968
15,2016/11/15-15:12:40.6871,176.654479767,146.980118584,165.079665703,120.899855097,35.4934324503,169.459848864,-0.0078085,-0.7381336,0.3123,0.0539966,-0.6659799,-0.1476543,136.782321069,104.353515736,167.535211346,125.479093289,155.486269718,108.89224688,137.565211692,161.807940717,126.065801472,72057594037927968
