,Date,ElbowLeft_XY,ElbowLeft_XZ,ElbowLeft_YZ,ElbowRight_XY,ElbowRight_XZ,ElbowRight_YZ,HL_position_X,HL_position_Y,HL_position_Z,HR_position_X,HR_position_Y,HR_position_Z,Neck_XY,Neck_XZ,Neck_YZ,ShoulderLeft_XY,ShoulderLeft_XZ,ShoulderLeft_YZ,ShoulderRight_XY,ShoulderRight_XZ,ShoulderRight_YZ,TrackingId
0,2016/10/31-17:44:08.5506,163.419515883,100.450487517,159.210584571,17.7971576773,46.1328465367,31.6657548417,-0.248674,-0.8351722,0.093767,0.056424,-0.28312983,-0.22106,172.324476052,36.9677268263,145.964487004,134.199368334,174.949523451,166.839620606,127.546305327,147.962009307,113.420023985,72057594037927968
1,2016/10/31-17:44:10.3350,169.703249683,161.717979939,177.199827664,15.5973303755,40.6357473573,28.8861026472,-0.3042154,-0.831981,0.080997,0.0564757,-0.284983,-0.210327,167.531926467,30.702573344,149.601786861,138.217405448,146.792382813,173.92314872,130.168876385,143.957652797,113.76450576,72057594037927968
2,2016/10/31-17:44:10.4251,179.345039139,124.974333481,146.685732897,10.9174140003,28.1018051682,21.518876927,-0.4383525,-0.7627999,-0.012171,0.0772759,-0.26478612,-0.196831,158.007723237,8.69361677878,145.234451238,143.06406851,104.513337986,107.303807514,130.985565817,144.780310011,116.176588672,72057594037927968
3,2016/10/31-17:44:10.4606,163.295926289,138.111489382,147.66457787,10.8236346382,25.1662675162,20.2954292183,-0.4393064,-0.7579684,-0.004759,0.0690822,-0.255381903,-0.188696,163.807465101,28.3225375606,143.909815939,149.66986448,118.132222756,107.791772577,129.651105398,142.11965714,112.873768763,72057594037927968
4,2016/10/31-17:44:10.4932,159.951078505,130.533338835,140.856422012,9.62640032191,17.7916855284,16.408867927,-0.4488144,-0.7511851,0.004167,0.0610353,-0.25097762638,-0.178427,162.899770095,44.3703427734,147.515782719,153.85240607,116.318454939,103.634502364,132.260183157,135.40340382,111.928393704,72057594037927968
5,2016/10/31-17:44:10.5328,158.888829095,153.370700336,153.347163897,10.2248608157,13.0458384511,13.7069159029,-0.4398836,-0.7669416,0.00557,0.0268598,-0.19912039,-0.178222,163.644159493,47.27692257,148.259265771,153.243655935,122.631576348,110.806919342,131.322944634,131.727361152,111.814659368,72057594037927968
6,2016/10/31-17:44:10.5633,152.18796662,163.457685214,153.436587743,26.8435364715,38.6405258346,26.4167212481,-0.4123837,-0.7721475,0.002329,-0.0069341,-0.29125936,-0.202488,163.687474178,49.8941520312,148.776779253,155.044087145,121.116337549,108.764004005,118.709562932,156.324538676,121.150732511,72057594037927968
7,2016/10/31-17:44:10.6334,152.10390075,158.287996875,149.676720608,31.4702679364,108.254121478,28.6917579238,-0.3405376,-0.7952712,-0.000341,-0.0569007,-0.257341966,-0.215701,162.311164371,52.3332252644,149.730586431,153.751606528,105.834335587,98.5904397795,109.296691765,135.011735146,124.071466907,72057594037927968
8,2016/10/31-17:44:10.7017,141.010564822,126.721428438,155.855390123,30.4576587791,90.4764472982,28.3267343917,-0.3003534,-0.7812949,-0.017973,-0.0670726,-0.251769592,-0.229962,163.551123346,50.3791882538,149.149791505,159.78131919,103.144784061,94.1478213382,107.353562293,159.543724261,113.031338699,72057594037927968
9,2016/10/31-17:44:10.7673,141.233641932,152.854322251,154.465097146,17.340795352,21.6790954981,20.4800189937,-0.3074766,-0.7465077,-0.036541,-0.0586935,-0.264830543,-0.244908,170.042323753,35.1712327595,139.989009589,171.564658982,91.3966356934,85.947155787,151.352961714,95.8913977928,102.052079996,72057594037927968
