,0
0,"[[-0.851273   -0.76071203  0.48902899]
 [-0.83315998 -0.34413099 -0.090561  ]
 [-0.144897   -0.126785   -0.670151  ]
 ..., 
 [ 0.108673   -0.072449   -0.072449  ]
 [ 0.108673   -0.072449   -0.072449  ]
 [ 0.072449   -0.072449   -0.036224  ]]"
1,"[[-0.99616998 -0.83315998 -0.217346  ]
 [-0.81504798 -1.50331104 -0.16301   ]
 [-0.48902899 -2.11912489 -0.16301   ]
 ..., 
 [-0.88749701 -0.054337    0.        ]
 [-0.88749701  0.090561    0.036224  ]
 [-0.90560901  0.235458   -0.036224  ]]"
2,"[[-0.061       0.58600003  0.096     ]
 [-0.113       0.67299998  0.017     ]
 [ 0.052       0.63        0.017     ]
 ..., 
 [-0.14        1.23300004 -0.035     ]
 [-0.175       1.24199998 -0.052     ]
 [-0.192       1.27699995 -0.017     ]]"
3,"[[ 0.108673    0.217346    0.217346  ]
 [ 0.217346    0.144897    0.126785  ]
 [ 0.30790699  0.090561    0.072449  ]
 ..., 
 [-0.525253   -0.126785   -0.48902899]
 [-0.434692   -0.16301    -0.38035601]
 [-0.434692   -0.19923399 -0.235458  ]]"
4,"[[ 0.090561   -0.19923399 -0.126785  ]
 [ 0.126785   -0.19923399 -0.16301   ]
 [ 0.090561   -0.253571   -0.253571  ]
 ..., 
 [ 0.126785   -2.20968604  0.39846799]
 [-0.108673   -1.73877001  0.670151  ]
 [-0.16301    -1.50331104  0.56147802]]"
5,"[[ 0.108673   -0.77882397 -0.28979501]
 [ 0.090561   -0.74259901 -0.28979501]
 [ 0.054337   -0.79693598 -0.28979501]
 ..., 
 [ 0.181122   -1.70254505 -0.50714099]
 [-0.27168301 -1.70254505 -0.32601899]
 [-0.95994598 -1.82932997  0.072449  ]]"
6,"[[ 0.74259901  2.30024695  1.35841405]
 [ 0.19923399 -0.181122   -1.23162794]
 [ 0.434692    0.36224401 -0.88749701]
 ..., 
 [-0.036224    1.03239405  0.434692  ]
 [ 0.018112    0.94183302  0.27168301]
 [ 0.072449    0.92372102  0.144897  ]]"
7,"[[-0.32601899  0.28979501 -0.434692  ]
 [-0.65203899  0.543365   -0.018112  ]
 [-0.94183302  0.670151    0.434692  ]
 ..., 
 [ 1.41275001  2.30024695  1.28596497]
 [ 1.03239405  2.30024695  1.539536  ]
 [ 0.48902899  2.30024695  1.48519897]]"
8,"[[ 0.253571   -1.03239405 -0.108673  ]
 [ 0.217346   -1.05050695 -0.108673  ]
 [ 0.253571   -1.05050695 -0.090561  ]
 ..., 
 [ 0.217346   -1.08673096 -0.144897  ]
 [ 0.217346   -1.08673096 -0.144897  ]
 [ 0.19923399 -1.06861901 -0.126785  ]]"
9,"[[-0.525253   -0.76071203 -1.539536  ]
 [-0.41657999 -0.83315998 -1.59387195]
 [-0.28979501 -0.77882397 -1.213516  ]
 ..., 
 [ 0.054337   -0.27168301  0.74259901]
 [ 0.072449   -0.39846799  0.77882397]
 [ 0.072449   -0.48902899  0.74259901]]"
10,"[[ 0.036224   -1.08673096 -0.054337  ]
 [ 0.036224   -1.08673096 -0.072449  ]
 [ 0.018112   -1.10484302 -0.072449  ]
 ..., 
 [ 0.036224   -1.08673096 -0.054337  ]
 [ 0.036224   -1.10484302 -0.036224  ]
 [ 0.036224   -1.08673096 -0.036224  ]]"
11,"[[ 0.235458    1.23162794 -0.16301   ]
 [ 0.217346    1.34030199  0.217346  ]
 [ 0.28979501  1.39463794  0.61581397]
 ..., 
 [-0.235458    0.94183302 -0.090561  ]
 [-0.144897    1.01428199 -0.090561  ]
 [-0.072449    1.05050695 -0.108673  ]]"
12,"[[ 0.072449   -0.95994598 -0.41657999]
 [ 0.253571   -1.19540405 -0.45280501]
 [ 0.253571   -1.64820898 -0.30790699]
 ..., 
 [-0.144897   -0.94183302  0.144897  ]
 [-0.16301    -0.94183302  0.144897  ]
 [-0.16301    -0.90560901  0.144897  ]]"
13,"[[-0.28979501 -1.46708703 -0.144897  ]
 [-0.30790699 -1.50331104 -0.217346  ]
 [-0.30790699 -1.50331104 -0.217346  ]
 ..., 
 [ 0.036224   -0.94183302 -0.16301   ]
 [ 0.054337   -0.90560901 -0.217346  ]
 [ 0.144897   -0.94183302 -0.19923399]]"
14,"[[-0.95994598 -2.17346191  0.41657999]
 [-0.59770203 -1.55764794  0.19923399]
 [-0.38035601 -1.72065699  0.108673  ]
 ..., 
 [ 0.054337   -1.59387195 -0.869385  ]
 [-0.45280501 -1.73877001 -0.88749701]
 [-0.38035601 -1.99233997 -0.77882397]]"
15,"[[ 0.181122   -0.77882397 -0.144897  ]
 [ 0.19923399 -0.77882397 -0.108673  ]
 [ 0.090561   -0.65203899 -0.090561  ]
 ..., 
 [ 0.018112   -0.95994598  0.28979501]
 [ 0.036224   -0.92372102  0.16301   ]
 [ 0.108673   -1.01428199  0.108673  ]]"
16,"[[ 0.19923399 -2.24591088 -1.26785302]
 [-0.108673   -1.70254505 -2.10101295]
 [ 0.28979501 -0.77882397 -1.32218897]
 ..., 
 [-0.144897   -0.688263   -0.144897  ]
 [-0.41657999 -0.38035601 -0.253571  ]
 [-0.56147802 -0.090561   -0.41657999]]"
17,"[[-0.61581397  1.23162794  0.036224  ]
 [-0.688263    1.12295496  0.16301   ]
 [-0.65203899  1.05050695  0.28979501]
 ..., 
 [-0.253571    0.88749701 -0.27168301]
 [-0.36224401  0.92372102 -0.47091699]
 [-0.48902899  0.76071203 -0.525253  ]]"
18,"[[ 1.35841405  2.3183589   0.072449  ]
 [ 0.32601899  1.50331104  0.525253  ]
 [-0.144897    1.79310596  0.48902899]
 ..., 
 [-0.76071203  1.95611596 -0.19923399]
 [-0.88749701  1.46708703 -0.706375  ]
 [-0.94183302  1.24974096 -0.851273  ]]"
19,"[[ 0.144897   -0.97805798  0.018112  ]
 [ 0.144897   -0.97805798 -0.018112  ]
 [ 0.16301    -0.97805798  0.036224  ]
 ..., 
 [ 0.126785   -0.97805798  0.108673  ]
 [ 0.126785   -0.97805798  0.108673  ]
 [ 0.126785   -0.97805798  0.108673  ]]"
20,"[[ 0.41999999  1.12800002 -0.105     ]
 [ 0.58600003  1.16299999 -0.122     ]
 [ 0.56        1.19799995 -0.183     ]
 ..., 
 [ 0.105       0.44600001 -0.113     ]
 [ 0.122       0.45500001 -0.148     ]
 [ 0.122       0.463      -0.183     ]]"
21,"[[ 0.30790699 -1.88366699 -0.45280501]
 [ 0.27168301 -1.95611596 -0.45280501]
 [ 0.217346   -2.3183589  -0.57959002]
 ..., 
 [ 0.706375   -1.539536   -0.126785  ]
 [ 0.543365   -1.17729199  0.253571  ]
 [ 0.19923399 -1.03239405  0.38035601]]"
22,"[[-0.59770203 -1.97422802  0.543365  ]
 [-0.81504798 -2.11912489  0.59770203]
 [-0.95994598 -2.3183589   0.543365  ]
 ..., 
 [ 0.65203899 -0.434692   -0.19923399]
 [ 0.61581397 -0.48902899 -0.217346  ]
 [ 0.57959002 -0.41657999 -0.27168301]]"
23,"[[-0.16301    -0.72448701 -0.30790699]
 [-0.126785   -0.90560901 -0.36224401]
 [-0.126785   -1.03239405 -0.57959002]
 ..., 
 [-0.28979501 -0.36224401 -0.34413099]
 [-0.27168301 -0.27168301 -0.30790699]
 [-0.27168301 -0.19923399 -0.28979501]]"
24,"[[ 0.144897   -2.3183589   0.27168301]
 [ 0.81504798 -2.3183589   0.235458  ]
 [ 0.90560901 -2.3183589   0.59770203]
 ..., 
 [-1.39463794 -1.63009596 -2.30024695]
 [-1.23162794 -2.3183589  -0.688263  ]
 [-0.018112   -2.3183589  -2.30024695]]"
25,"[[-0.043       0.56800002 -0.463     ]
 [-0.07        0.58600003 -0.50700003]
 [-0.078       0.66500002 -0.56800002]
 ..., 
 [-0.28799999  0.84799999 -0.708     ]
 [-0.29699999  0.82200003 -0.708     ]
 [-0.28799999  0.796      -0.69999999]]"
26,"[[ 0.192       0.73500001 -0.236     ]
 [ 0.15700001  0.75199997 -0.245     ]
 [ 0.148       0.76999998 -0.21799999]
 ..., 
 [-0.39300001  1.426      -0.40200001]
 [-0.087       1.31200004 -0.36700001]
 [ 0.043       1.33000004 -0.40200001]]"
27,"[[ 0.235458    0.27168301  0.61581397]
 [ 0.45280501  0.27168301  0.525253  ]
 [ 0.48902899 -0.108673    1.06861901]
 ..., 
 [ 0.217346    0.108673   -0.65203899]
 [ 0.41657999  0.108673   -0.41657999]
 [ 0.525253    0.         -0.253571  ]]"
28,"[[ 0.38035601  0.         -0.144897  ]
 [ 0.39846799 -0.054337   -0.126785  ]
 [ 0.32601899 -0.072449   -0.108673  ]
 ..., 
 [ 0.28979501  0.036224   -0.036224  ]
 [ 0.19923399  0.         -0.054337  ]
 [ 0.217346   -0.072449   -0.235458  ]]"
